date,venue_code,race_number,data_type,data_json
20251228,12,7,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":12,""race_number"":7,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":7.0,""race_water_temperature"":8.0,""boats"":{""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.18,""racer_weight"":53.9,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.84,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.04,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.85,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.01,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.7,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.02,""racer_weight"":54.5,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.72,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.01,""racer_weight"":55.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.91,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.09,""racer_weight"":56.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.86,""racer_tilt_adjustment"":-0.5}}}"
20251228,12,8,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":12,""race_number"":8,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":7.0,""race_water_temperature"":8.0,""boats"":{""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.01,""racer_weight"":53.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.13,""racer_weight"":53.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.85,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":6,""racer_start_timing"":0.05,""racer_weight"":57.9,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.88,""racer_tilt_adjustment"":0.0},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.09,""racer_weight"":52.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.79,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":5,""racer_start_timing"":0.13,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.89,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.04,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.77,""racer_tilt_adjustment"":-0.5}}}"
20251228,12,9,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":12,""race_number"":9,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":7.0,""race_water_temperature"":8.0,""boats"":{""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":-0.03,""racer_weight"":52.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.81,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.07,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.86,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.03,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":-0.01,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.01,""racer_weight"":52.8,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.01,""racer_weight"":52.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.9,""racer_tilt_adjustment"":-0.5}}}"
20251228,12,10,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":12,""race_number"":10,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":7.0,""race_water_temperature"":8.0,""boats"":{""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.1,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.96,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.21,""racer_weight"":52.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.89,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.23,""racer_weight"":52.8,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.07,""racer_weight"":51.0,""racer_weight_adjustment"":1.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.07,""racer_weight"":55.9,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.87,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.03,""racer_weight"":53.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.81,""racer_tilt_adjustment"":-0.5}}}"
20251228,12,11,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":12,""race_number"":11,""race_wind"":1.0,""race_wind_direction_number"":11.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":7.0,""race_water_temperature"":8.0,""boats"":{""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.02,""racer_weight"":57.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.08,""racer_weight"":54.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.85,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.03,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.79,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.22,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.86,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.02,""racer_weight"":54.5,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.79,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":-0.01,""racer_weight"":52.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":0.5}}}"
20251228,12,12,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":12,""race_number"":12,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":1.0,""race_weather_number"":1.0,""race_temperature"":6.0,""race_water_temperature"":8.0,""boats"":{""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.04,""racer_weight"":54.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.86,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.03,""racer_weight"":53.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.89,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.02,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.04,""racer_weight"":51.0,""racer_weight_adjustment"":1.0,""racer_exhibition_time"":6.71,""racer_tilt_adjustment"":0.0},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.12,""racer_weight"":53.3,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.84,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.0,""racer_weight"":52.9,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":-0.5}}}"
20251228,13,1,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":13,""race_number"":1,""race_wind"":2.0,""race_wind_direction_number"":14.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":11.3,""race_water_temperature"":7.8,""boats"":{""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.1,""racer_weight"":56.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.85,""racer_tilt_adjustment"":0.0},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.01,""racer_weight"":49.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.11,""racer_weight"":54.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.79,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.01,""racer_weight"":45.0,""racer_weight_adjustment"":2.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.03,""racer_weight"":59.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.04,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.83,""racer_tilt_adjustment"":-0.5}}}"
20251228,13,2,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":13,""race_number"":2,""race_wind"":0.0,""race_wind_direction_number"":17.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":10.9,""race_water_temperature"":7.4,""boats"":{""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.0,""racer_weight"":52.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.04,""racer_weight"":52.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.77,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.03,""racer_weight"":52.5,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.09,""racer_weight"":53.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.03,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.77,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.03,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.76,""racer_tilt_adjustment"":-0.5}}}"
20251228,13,3,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":13,""race_number"":3,""race_wind"":1.0,""race_wind_direction_number"":12.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":10.5,""race_water_temperature"":7.4,""boats"":{""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.08,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.04,""racer_weight"":49.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.84,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.06,""racer_weight"":52.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.76,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.03,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.15,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.71,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.07,""racer_weight"":47.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.71,""racer_tilt_adjustment"":-0.5}}}"
20251228,13,4,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":13,""race_number"":4,""race_wind"":1.0,""race_wind_direction_number"":14.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":11.0,""race_water_temperature"":7.5,""boats"":{""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.08,""racer_weight"":53.9,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.76,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.12,""racer_weight"":52.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.07,""racer_weight"":52.1,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.09,""racer_weight"":47.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.69,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.13,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.1,""racer_weight"":53.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.72,""racer_tilt_adjustment"":-0.5}}}"
20251228,13,5,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":13,""race_number"":5,""race_wind"":1.0,""race_wind_direction_number"":14.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":12.1,""race_water_temperature"":7.6,""boats"":{""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.03,""racer_weight"":56.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.85,""racer_tilt_adjustment"":0.0},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.04,""racer_weight"":52.8,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.87,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.08,""racer_weight"":45.5,""racer_weight_adjustment"":1.5,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.26,""racer_weight"":55.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.77,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":-0.07,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.69,""racer_tilt_adjustment"":0.0},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.19,""racer_weight"":51.5,""racer_weight_adjustment"":0.5,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5}}}"
20251228,13,6,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":13,""race_number"":6,""race_wind"":3.0,""race_wind_direction_number"":10.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":12.5,""race_water_temperature"":7.7,""boats"":{""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.06,""racer_weight"":52.6,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.1,""racer_weight"":52.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.78,""racer_tilt_adjustment"":0.0},""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":-0.06,""racer_weight"":53.7,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.81,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":-0.01,""racer_weight"":55.4,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.71,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":-0.09,""racer_weight"":47.5,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.8,""racer_tilt_adjustment"":-0.5},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.05,""racer_weight"":59.2,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5}}}"
20251228,13,7,preview,"{""race_date"":""2025-12-28"",""race_stadium_number"":13,""race_number"":7,""race_wind"":2.0,""race_wind_direction_number"":10.0,""race_wave"":0.0,""race_weather_number"":1.0,""race_temperature"":12.4,""race_water_temperature"":7.7,""boats"":{""5"":{""racer_boat_number"":5,""racer_course_number"":5,""racer_start_timing"":0.13,""racer_weight"":44.0,""racer_weight_adjustment"":3.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""6"":{""racer_boat_number"":6,""racer_course_number"":6,""racer_start_timing"":0.05,""racer_weight"":43.5,""racer_weight_adjustment"":3.5,""racer_exhibition_time"":6.74,""racer_tilt_adjustment"":-0.5},""4"":{""racer_boat_number"":4,""racer_course_number"":4,""racer_start_timing"":0.05,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.82,""racer_tilt_adjustment"":0.0},""2"":{""racer_boat_number"":2,""racer_course_number"":2,""racer_start_timing"":0.01,""racer_weight"":51.0,""racer_weight_adjustment"":1.0,""racer_exhibition_time"":6.75,""racer_tilt_adjustment"":-0.5},""1"":{""racer_boat_number"":1,""racer_course_number"":1,""racer_start_timing"":0.14,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.71,""racer_tilt_adjustment"":-0.5},""3"":{""racer_boat_number"":3,""racer_course_number"":3,""racer_start_timing"":0.0,""racer_weight"":52.0,""racer_weight_adjustment"":0.0,""racer_exhibition_time"":6.78,""racer_tilt_adjustment"":-0.5}}}"
